"GPSC","count","genes","core>=99","softcore>=95<99","shell>=15<95","cloud<15"
1,504,3013,1608,88,274,1043
2,782,2770,1685,70,139,876
3,358,2940,1560,74,272,1034
4,203,2775,1643,72,228,832
5,453,3587,1528,151,438,1470
6,393,3311,1608,124,186,1393
7,166,2689,1574,106,269,740
8,390,2709,1683,69,128,829
9,277,3326,1527,172,284,1343
10,287,2979,1545,163,201,1070
11,228,3141,1570,88,316,1167
12,205,2331,1609,41,195,486
13,351,3109,1547,82,470,1010
14,338,2870,1611,141,217,901
15,164,2043,1658,48,36,301
16,231,2967,1596,77,322,972
17,320,2836,1610,115,246,865
18,228,2844,1596,81,340,827
19,118,2382,1726,48,74,534
20,92,2314,1657,176,189,292
21,242,3002,1600,208,266,928
22,240,2950,1574,98,326,952
23,180,2925,1510,128,501,786
24,86,2578,1574,153,287,564
25,112,2339,1670,97,162,410
26,195,2624,1637,155,71,761
27,118,2622,1654,65,224,679
30,120,2729,1602,126,338,663
31,111,2152,1759,12,105,276
32,124,2302,1594,47,187,474
33,170,2550,1605,130,246,569
34,151,2496,1611,85,225,575
37,148,2724,1567,98,378,681
38,92,2530,1657,116,171,586
39,67,2598,1663,84,177,674
40,112,2579,1575,63,351,590
41,125,2484,1636,76,190,582
43,111,2719,1590,31,466,632
47,101,2615,1692,98,354,471
48,83,2313,1629,119,188,377
50,61,2529,1602,95,186,646
51,94,2059,1657,120,36,246
52,100,2510,1668,53,218,571
53,99,2467,1661,158,285,363
54,97,2416,1621,149,247,399
55,90,1864,1786,26,8,44
56,92,2460,1502,147,176,635
57,56,2225,1581,67,164,413
58,88,2198,1599,120,171,308
61,71,2636,1520,72,300,744
62,79,2424,1645,128,362,289
65,73,2288,1740,74,196,278
67,61,2377,1650,84,225,418
68,66,2332,1586,140,205,401
70,62,1978,1681,35,90,172
72,57,2263,1654,66,178,365
76,37,2492,1618,84,414,376
77,56,2325,1646,118,238,323
78,55,2096,1736,54,183,123
79,52,2252,1662,124,157,309
80,50,2198,1686,38,206,268
81,38,2204,1628,140,226,210
90,39,2450,1582,88,401,379
91,27,2396,1647,36,286,427
93,38,2213,1706,57,181,269
94,37,2279,1713,88,209,269
97,23,2065,1726,31,167,141
103,32,2196,1706,69,241,180
105,30,2199,1644,53,251,251
108,29,2182,1761,39,185,197
115,26,2264,1681,55,294,234
117,26,2053,1772,10,151,120
131,22,2024,1672,36,143,173
